product,"Products of agriculture, hunting and related services         ","Products of forestry, logging and related services         ",Fish and other fishing products; aquaculture products; support services to fishing     ,Coal and lignite             ,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,Other mining and quarrying products           ,Mining support services             ,Preserved meat and meat products           ,"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables       ",Vegetable and animal oils and fats          ,Dairy products              ,"Grain mill products, starches and starch products         ",Bakery and farinaceous products            ,Other food products             ,Prepared animal feeds             ,Alcoholic beverages  & Tobacco products,Soft drinks              ,Textiles               ,Wearing apparel              ,Leather and related products            ,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Paper and paper products            ,Printing and recording services            ,Coke and refined petroleum products           ,"Paints, varnishes and similar coatings, printing ink and mastics       ","Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations     ",Other chemical products             ,"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15      ",Petrochemicals - 20.14/16/17/60             ,"Dyestuffs, agro-chemicals - 20.12/20            ",Basic pharmaceutical products and pharmaceutical preparations          ,Rubber and plastic products            ,"Cement, lime, plaster and articles of concrete, cement and plaster ","Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9   ",Basic iron and steel            ,Other basic metals and casting           ,Weapons and ammunition             ,"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9   ","Computer, electronic and optical products           ",Electrical equipment              ,Machinery and equipment n.e.c.            ,"Motor vehicles, trailers and semi-trailers           ",Ships and boats             ,Air and spacecraft and related machinery          ,Other transport equipment - 30.2/4/9           ,Furniture               ,Other manufactured goods             ,Repair and maintenance of ships and boats         ,Repair and maintenance of aircraft and spacecraft         ,Rest of repair; Installation - 33.11-14/17/19/20          ,"Electricity, transmission and distribution",Gas; distribution of gaseous fuels through mains; steam and air conditioning supply    ,Natural water; water treatment and supply services         ,Sewerage services; sewage sludge            ,"Waste collection, treatment and disposal services; materials recovery services       ",Remediation services and other waste management services         ,Construction,Wholesale and retail trade and repair services of motor vehicles and motorcycles    ,"Wholesale trade services, except of motor vehicles and motorcycles       ","Retail trade services, except of motor vehicles and motorcycles       ",Rail transport services             ,"Land transport services and transport services via pipelines, excluding rail transport     ",Water transport services             ,Air transport services             ,Warehousing and support services for transportation          ,Postal and courier services            ,Accommodation services              ,Food and beverage serving services           ,Publishing services              ,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities",Telecommunications services              ,"Computer programming, consultancy and related services          ",Information services              ,"Financial services, except insurance and pension funding         ","Insurance, reinsurance and pension funding services, except compulsory social security",Services auxiliary to financial services and insurance services        ,Real estate services on a fee or contract basis       ,Owner-Occupiers' Housing Services,"Real estate services, excluding on a fee or contract basis and imputed rent   ",Legal services              ,"Accounting, bookkeeping and auditing services; tax consulting services        ",Services of head offices; management consulting services         ,Architectural and engineering services; technical testing and analysis services       ,Scientific research and development services           ,Advertising and market research services           ,"Other professional, scientific and technical services          ",Veterinary services              ,Rental and leasing services            ,Employment services              ,"Travel agency, tour operator and other reservation services and related services     ",Security and investigation services            ,Services to buildings and landscape           ,"Office administrative, office support and other business support services       ",Public administration and defence services; compulsory social security services       ,Education services              ,Human health services             ,Residential Care  & Social Work Activities,"Creative, arts and entertainment services           ","Libraries, archives, museums and other cultural services         ",Gambling and betting services            ,Sports services and amusement and recreation services         ,Services furnished by membership organisations           ,Repair services of computers and personal and household goods       ,Other personal services             ,Services of households as employers of domestic personnel        
Basic pharmaceutical products and pharmaceutical preparations          ,219,0,0,0,0,0,0,0,0,1,0,3,0,5,62,0,0,1,0,0,0,0,0,0,0,14,9,0,2,4,"1,023",0,0,0,0,0,0,2,4,0,52,0,0,0,0,0,12,0,0,10,13,2,0,0,0,0,7,5,96,5,0,3,0,0,0,0,2,21,2,0,0,47,0,0,0,1,0,0,48,2,2,33,32,548,0,50,276,4,0,0,0,0,9,152,18,"4,235",36,0,0,0,0,49,0,0,0
Rubber and plastic products            ,760,0,2,1,0,16,0,364,256,5,313,20,304,283,7,28,332,30,2,0,22,490,171,7,20,350,45,3,12,10,367,410,16,8,10,3,2,294,153,248,197,"1,281",17,283,3,52,33,2,1,175,0,0,0,2,197,1,"2,382",9,741,772,5,361,0,0,358,40,10,196,2,0,16,46,1,1,19,41,0,9,120,6,3,1,18,151,8,19,0,14,0,0,3,200,16,118,101,330,44,150,5,2,1,22,6,1,0
"Cement, lime, plaster and articles of concrete, cement and plaster ",0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,10,21,1,2,1,0,12,23,189,3,0,0,101,0,0,6,1,0,0,0,1,0,0,0,4,0,0,3,2,16,0,"7,387",0,6,8,2,3,0,0,0,0,7,76,0,0,0,4,0,0,0,1,0,134,24,0,0,0,1,16,3,15,0,2,0,0,0,0,1,98,116,26,0,17,20,1,29,9,0,0,0
"Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9   ",0,0,0,0,0,148,0,8,8,0,2,3,5,84,0,365,144,1,0,0,5,1,0,0,0,32,2,3,26,1,16,99,31,13,113,3,0,40,8,115,10,28,36,1,0,1,2,0,0,7,0,0,0,0,63,0,"2,161",1,44,94,7,10,0,0,0,0,31,126,0,0,0,5,0,0,0,0,0,134,34,1,1,0,2,15,0,6,0,4,0,0,0,1,3,55,69,23,0,21,10,0,0,16,0,1,0
Basic iron and steel            ,0,0,0,0,29,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,2,0,3,0,1,0,4,0,0,0,0,8,78,8,32,10,28,21,83,314,55,994,55,"1,135",28,140,2,37,0,195,0,0,0,0,304,0,722,0,45,1,0,17,0,0,0,0,1,38,0,0,0,12,0,0,5,2,0,0,21,2,2,2,73,146,0,7,0,4,0,0,0,0,8,0,0,0,0,7,15,0,0,0,2,0,0
Other basic metals and casting           ,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,2,1,1,1,1,3,0,3,0,4,0,5,0,6,46,2,2,61,6,91,38,200,15,679,4,2,418,3,18,95,0,21,246,286,50,21,0,0,0,"1,078",0,59,1,0,11,0,0,0,0,1,40,0,0,0,12,0,0,4,0,0,0,35,1,1,0,6,77,0,4,0,3,0,0,0,2,4,0,0,0,0,0,2,0,0,0,1,0,0
Weapons and ammunition             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,"1,753",0,0,0,0,0,0,0,0,0,0,0
"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9   ",164,0,0,0,174,4,12,15,14,1,6,2,19,110,0,9,62,8,1,8,34,63,164,4,9,143,55,2,8,6,255,180,5,41,519,30,321,"1,052",322,242,"2,060","1,289",27,903,9,99,201,6,12,633,162,30,2,0,624,0,"6,818",57,227,10,0,50,0,0,1,0,9,191,2,0,1,49,1,1,14,33,0,165,61,5,4,5,88,289,9,26,0,13,0,0,1,39,380,15,52,66,0,0,0,0,3,0,2,1,0
"Computer, electronic and optical products           ",0,1,0,0,0,1,2,2,4,0,2,2,1,2,7,8,2,7,5,4,4,28,156,1,10,2,13,3,6,0,9,19,7,12,1,3,31,3,"1,008",148,144,43,6,28,9,13,68,1,1,299,259,45,10,0,6,0,183,0,557,52,9,43,8,2,104,45,20,101,73,301,322,275,95,0,1,32,1,6,53,17,13,44,486,157,76,27,42,29,116,156,2,77,89,"1,702",294,656,58,93,16,1,15,44,27,17,0
Electrical equipment              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,1,1,10,96,14,2,3,19,216,3,"1,472",2,1,1,1,1,61,69,24,0,0,14,0,"4,556",0,285,22,0,64,0,0,0,0,5,62,0,14,1,6,2,27,13,25,0,13,30,1,1,1,13,132,5,14,0,168,0,0,62,0,5,376,51,23,41,0,7,1,26,0,3,1,0
Machinery and equipment n.e.c.            ,6,24,0,39,"1,371",77,166,30,9,1,1,9,59,50,1,88,211,72,10,0,34,45,68,0,4,7,5,2,5,12,262,20,51,55,17,26,109,59,24,704,925,14,8,2,3,6,11,2,2,486,596,248,79,0,178,0,"2,118",36,483,27,20,49,0,0,1,1,3,98,1,2,13,30,0,30,8,1,0,2,94,3,3,9,94,88,6,15,0,667,0,0,25,185,15,112,0,0,3,0,0,15,23,2,43,0,0
"Motor vehicles, trailers and semi-trailers           ",0,52,0,0,0,9,0,1,1,0,1,0,2,1,0,0,3,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,8,2,1,1,0,1,0,0,0,0,0,1,0,18,0,0,0,86,0,0,3,17,22,0,224,"2,816",178,66,0,625,0,0,117,47,2,74,0,0,25,23,13,46,28,48,0,12,54,0,0,26,1,13,3,3,0,382,19,0,12,9,15,3,138,94,138,0,5,0,4,4,1,1,0
Ships and boats             ,0,0,2,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,4,25,673,0,0,0,0,25,0,1,0,0,0,0,0,0,4,0,7,1,0,2,242,0,0,0,0,7,0,0,0,2,0,0,1,0,0,0,36,0,0,0,4,18,0,1,0,1,0,0,0,0,0,294,0,0,0,3,0,0,0,0,0,0,0
Air and spacecraft and related machinery          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,9,0,1,2,14,7,15,1,6,58,1,1,"2,217",3,2,1,0,"1,996",5,0,0,0,0,0,0,4,0,52,0,0,13,0,0,0,0,0,22,0,0,0,12,0,0,12,4,0,0,48,2,1,0,31,177,0,8,0,4,0,0,0,0,9,"2,381",0,0,0,10,3,0,0,0,0,0,0
Other transport equipment - 30.2/4/9           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,8,161,11,0,2,0,2,485,0,2,0,0,73,0,0,0,0,0,0,1,0,26,0,98,1,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,22,0,0,0,1,23,0,0,0,1,0,0,0,0,1,5,0,164,0,0,0,0,0,4,0,0,0
Furniture               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,15,1,1,35,0,1,0,1,0,0,0,0,0,0,253,0,2,1,0,0,0,0,0,0,0,5,0,0,0,5,0,2,4,4,0,2,25,0,0,0,0,14,1,1,0,1,0,0,0,0,0,383,141,95,55,1,1,0,15,5,1,0,0
Other manufactured goods             ,16,2,3,0,17,0,4,14,4,0,0,2,3,1,2,0,0,0,0,0,6,0,5,0,1,1,3,1,4,1,32,15,2,15,1,8,1,2,0,0,7,0,8,8,0,0,1,8,0,34,20,11,5,4,23,1,309,14,18,6,1,35,39,5,105,43,15,26,7,165,15,16,1,3,27,108,2,3,35,13,0,4,10,54,53,29,36,7,12,6,1,33,5,29,112,457,55,55,7,16,34,3,0,9,0
Repair and maintenance of ships and boats         ,0,0,25,0,124,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,89,0,0,0,0,32,0,16,0,0,0,0,0,0,1,0,4,0,0,5,1,0,3,0,0,2,0,0,0,1,0,0,0,17,0,0,1,0,0,0,4,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Repair and maintenance of aircraft and spacecraft         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,1,3,0,1,13,0,0,368,0,0,0,0,520,2,0,0,0,0,0,0,1,0,13,5,0,2,0,"2,476",3,0,0,18,0,0,0,12,0,0,0,1,0,0,21,0,0,0,6,28,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Rest of repair; Installation - 33.11-14/17/19/20          ,49,3,11,15,681,124,142,178,102,12,94,45,117,139,78,178,118,60,19,0,78,75,108,204,47,56,50,33,113,36,86,327,230,164,179,62,110,374,115,112,208,348,6,329,35,75,79,5,44,761,"1,212","1,100",95,12,161,1,191,357,971,"1,267","1,363",226,27,11,557,115,100,758,58,64,527,250,153,17,11,20,1,0,110,70,41,143,86,206,82,72,15,650,8,30,19,118,443,0,90,438,572,111,29,151,274,40,3,81,0
"Electricity, transmission and distribution",255,8,11,2,115,97,24,183,110,17,92,61,151,146,60,94,30,67,15,9,119,253,143,236,26,53,60,169,263,35,101,417,185,157,116,126,18,378,110,83,197,296,27,154,12,61,80,2,13,153,"29,704","7,983",449,78,115,2,"1,017",296,"1,252","2,727",302,304,9,23,374,98,618,"1,285",69,97,492,449,215,381,41,395,63,"1,228",328,151,71,164,204,233,120,241,13,95,66,176,18,165,380,638,594,901,368,66,69,57,246,103,0,85,0
Gas; distribution of gaseous fuels through mains; steam and air conditioning supply    ,4,0,0,0,18,19,3,69,51,22,34,21,71,120,13,102,5,36,8,4,31,141,19,19,8,31,28,116,224,45,69,130,51,73,128,78,6,137,15,30,75,77,3,50,3,20,18,0,4,52,"9,282","12,195",4,3,27,2,432,59,187,298,5,65,9,17,53,28,148,411,6,13,16,57,7,78,10,36,10,0,225,46,18,40,63,88,20,44,3,51,18,24,5,28,111,336,411,575,241,12,26,56,115,25,0,49,0
Natural water; water treatment and supply services         ,27,0,3,2,23,7,3,43,34,4,19,23,21,37,6,52,22,10,2,2,10,30,8,27,5,14,9,15,27,11,15,22,17,15,22,5,1,48,10,8,19,21,2,13,1,7,13,1,4,8,72,15,876,486,137,2,176,74,171,283,12,33,15,4,54,12,193,417,6,5,13,47,5,4,132,0,29,0,159,37,14,58,38,42,54,24,6,44,7,5,5,27,68,320,203,202,264,22,22,20,102,27,11,53,0
Sewerage services; sewage sludge            ,52,0,2,0,7,3,3,37,16,4,11,3,8,30,2,13,3,6,1,3,6,18,4,6,5,9,6,4,15,17,12,10,8,6,33,5,2,22,4,5,10,32,7,7,1,5,5,0,1,6,5,3,39,442,"1,601",0,331,26,138,122,2,63,4,3,34,10,52,82,3,4,2,24,2,8,3,15,6,4,66,8,4,7,18,26,6,12,4,16,2,1,4,58,44,681,60,390,52,0,4,10,16,1,2,9,0
"Waste collection, treatment and disposal services; materials recovery services       ",131,1,8,0,12,16,10,93,37,3,28,6,28,57,19,84,13,9,1,8,16,78,16,51,14,16,13,11,37,16,32,29,4,8,210,5,5,31,9,10,48,40,13,19,6,11,19,1,1,23,1,4,69,59,"1,733",7,598,103,505,446,7,182,14,1,101,31,95,380,13,6,6,45,7,1,15,76,14,51,149,19,13,6,29,52,23,43,16,18,11,8,9,140,31,953,123,700,114,6,19,70,84,16,13,23,0
Remediation services and other waste management services         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,159,2,0,4,0,0,5,0,0,0,0,0,2,0,2,0,3,0,0,0,0,0,0,29,0,0,0,1,5,1,1,0,0,0,0,0,0,1,294,30,0,0,0,0,0,3,0,0,0,0
Construction,255,41,1,5,194,2,162,45,4,0,0,0,0,0,0,0,0,1,2,0,1,1,2,338,6,1,5,23,72,10,1,145,101,7,7,0,0,173,2,2,68,184,197,7,11,5,9,0,1,420,"2,398","1,041",245,273,208,0,"103,015",140,"2,634","1,585",1,108,12,0,280,71,118,"1,387",1,6,57,132,29,"1,150",884,129,279,"7,916","11,252",10,6,"1,080",597,197,101,425,6,132,33,17,11,582,309,"4,695",422,896,271,45,68,5,89,272,0,4,0
Wholesale and retail trade and repair services of motor vehicles and motorcycles    ,272,58,0,3,90,13,21,10,5,0,5,1,11,12,0,6,21,8,2,0,6,16,11,2,3,8,3,3,3,1,24,73,14,34,11,5,8,121,96,87,429,"7,647",6,22,225,20,20,0,2,356,42,17,50,27,166,0,603,"6,412","1,478","1,105",132,"1,925",2,3,147,297,59,397,17,5,24,167,69,403,288,102,0,10,188,23,44,63,54,489,17,25,0,"1,937",67,0,15,27,53,424,272,294,256,2,9,3,44,3,10,75,0
"Wholesale trade services, except of motor vehicles and motorcycles       ","1,718",106,225,15,567,226,117,"1,648","1,046",174,766,513,617,"1,100",595,770,358,521,350,67,640,"1,180",787,310,215,654,400,280,"1,050",157,"1,491","1,320",471,510,946,602,229,"2,145",959,"1,121","2,440","3,897",246,"1,739",158,576,595,35,70,"1,203",789,229,92,9,454,4,"10,927",385,"3,034",800,69,629,121,298,449,147,886,"5,914","1,060",629,276,562,181,301,101,218,25,207,669,57,39,150,677,"1,149",447,338,127,399,80,105,47,375,348,"2,958","1,395","4,988",643,124,70,72,280,194,73,310,0
"Retail trade services, except of motor vehicles and motorcycles       ",407,18,49,4,144,51,30,462,204,63,147,219,265,412,247,190,99,316,248,17,101,202,141,33,52,260,99,68,246,36,315,303,97,117,244,155,69,579,247,299,674,"1,736",67,487,48,181,198,11,20,357,189,49,23,5,139,0,"2,591",525,"1,073",300,17,229,43,50,161,52,208,"1,527",541,766,67,230,33,130,47,102,5,41,215,16,8,43,166,356,311,133,37,131,26,21,14,128,121,925,587,"1,570",316,83,36,25,129,88,16,128,0
Rail transport services             ,0,2,0,13,25,14,2,2,0,1,1,2,0,2,0,14,0,4,0,0,0,1,5,0,0,2,0,0,4,0,2,4,11,7,36,1,2,14,24,9,5,40,0,1,6,3,3,0,0,10,0,0,0,0,1,0,22,0,9,1,"1,454",1,0,63,4,1,0,16,0,0,0,15,0,20,33,12,1,0,30,0,0,0,1,23,3,0,0,8,0,180,1,0,1,719,124,315,2,0,13,1,25,1,2,0,0
"Land transport services and transport services via pipelines, excluding rail transport     ",332,7,0,11,0,393,13,439,356,40,211,107,344,459,155,516,162,71,12,7,217,506,169,120,103,103,88,106,126,30,89,429,891,223,189,71,2,334,22,119,322,493,3,151,13,135,141,2,20,138,39,27,23,14,324,1,959,719,"10,352","3,331",213,"7,108",88,1,817,499,55,884,223,75,59,251,31,509,196,137,16,0,312,85,24,139,206,224,145,305,15,410,36,137,36,144,525,641,"1,025","1,663",638,45,25,15,60,13,10,92,0
Water transport services             ,0,0,49,0,303,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,2,1,3,1,0,3,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,20,0,22,1,0,2,78,0,"1,241",137,0,49,0,0,0,17,0,45,20,37,0,0,25,0,0,1,5,3,0,0,0,4,0,704,0,0,1,26,0,16,0,0,0,0,1,0,0,0,0
Air transport services             ,0,0,0,0,146,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,71,2,1,2,0,0,9,0,0,14,7,10,0,0,1,1,1,0,0,0,8,0,48,195,82,13,0,1,226,"3,256",969,271,3,285,1,27,9,104,9,"1,164",258,112,2,0,162,2,162,676,5,17,535,216,0,48,43,"3,897",1,2,392,214,5,40,0,25,0,1,48,106,0,1,0
Warehousing and support services for transportation          ,0,0,102,0,6,4,0,51,7,2,3,9,10,17,1,18,6,21,63,2,1,21,10,0,19,25,29,0,37,3,570,76,4,16,6,14,5,79,166,55,406,"1,248",0,70,5,1,19,0,7,135,0,0,32,4,238,2,60,576,"9,611","5,309","1,594",909,2,0,"6,909","1,064",0,836,41,19,217,761,3,"1,013",252,245,2,0,192,5,3,21,24,145,7,25,0,451,9,0,9,10,747,175,33,0,16,0,33,11,1,0,0,29,0
Postal and courier services            ,55,1,6,0,4,1,15,35,60,7,13,18,63,93,30,123,13,56,48,29,79,46,40,3,30,42,35,2,94,2,92,103,39,85,38,53,7,94,104,102,65,37,5,19,8,149,80,1,2,93,164,60,28,2,14,4,68,262,"1,565","2,285",33,238,0,0,155,"2,970",23,296,226,89,5,425,256,"3,134",485,"2,185",24,0,287,229,66,330,28,121,140,139,33,157,34,151,9,15,561,"1,404",354,399,276,38,26,24,48,180,11,25,0
Accommodation services              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,4,84,294,8,50,0,263,33,11,427,176,23,69,4,407,5,639,557,253,2,0,174,85,147,669,3,30,379,243,0,40,77,"1,848",0,2,737,676,71,180,290,26,3,1,9,0,0,0,0
Food and beverage serving services           ,4,2,4,0,43,2,2,100,60,5,650,17,68,120,2,16,4,7,9,2,23,11,1,9,23,11,13,10,39,9,74,31,29,8,13,5,15,11,105,17,25,31,2,8,2,4,11,0,1,33,7,24,6,0,4,0,35,36,526,293,185,27,0,87,83,30,422,"1,968",68,272,37,443,51,443,200,62,17,0,200,115,46,257,26,154,200,181,1,45,43,101,11,131,318,719,"1,278","1,040",748,73,137,29,274,113,14,21,0
Publishing services              ,0,0,0,0,0,0,0,6,1,1,3,0,0,1,4,5,0,1,12,0,1,4,0,0,3,2,7,0,6,0,12,1,0,0,10,14,5,0,17,23,1,0,0,52,0,0,1,0,5,35,0,0,7,0,5,0,0,0,29,10,0,1,0,0,3,0,0,27,746,0,1,176,0,50,37,19,0,0,13,0,0,1,1,35,109,1,0,4,0,0,0,0,2,180,329,0,118,2,14,1,49,145,0,0,0
"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,5,0,12,98,0,0,0,0,0,0,38,51,42,"5,202",0,77,0,0,0,2,0,0,28,0,0,0,0,15,994,4,0,1,0,0,0,0,3,207,108,27,50,127,113,82,24,133,0,0,0
Telecommunications services              ,190,6,3,0,37,7,13,10,9,3,6,5,17,15,6,16,6,11,9,2,17,28,33,11,6,11,12,3,10,3,47,42,15,14,7,6,11,83,95,26,55,57,4,43,5,18,32,3,4,88,153,89,43,8,29,3,870,301,"1,045",749,44,165,60,19,209,105,107,370,142,155,9,855,251,"2,454",525,"2,773",81,471,595,343,93,804,248,169,345,266,22,214,220,128,35,72,650,"1,842",354,996,508,89,28,277,93,100,299,109,0
"Computer programming, consultancy and related services          ",66,6,4,1,221,11,60,23,28,4,8,12,34,6,24,75,34,10,11,0,27,69,33,9,26,21,32,1,33,2,252,37,23,37,47,25,30,51,920,58,139,414,51,513,8,42,38,1,12,61,530,383,78,86,55,5,"1,856",782,"2,462","2,001",157,208,167,139,548,333,218,787,880,282,"1,907","9,414",426,"4,231","1,137","3,587",161,0,"1,224",892,467,"1,602",647,694,547,310,36,372,326,80,19,167,906,"1,903",921,"1,152",658,88,68,221,159,237,1,1,0
Information services              ,0,0,0,0,5,0,0,0,1,0,0,0,1,1,0,7,0,4,1,0,0,3,11,0,0,3,0,0,0,0,18,0,1,0,0,0,0,2,0,0,3,34,1,11,0,0,1,0,0,1,3,186,10,0,0,0,23,336,97,853,53,63,0,17,89,120,2,103,90,60,"1,660",136,172,851,266,278,101,0,90,9,163,258,22,80,121,146,0,164,10,22,27,3,415,0,21,6,2,44,7,133,0,28,1,1,0
"Financial services, except insurance and pension funding         ",969,18,31,19,"1,170",255,227,184,231,37,136,116,306,616,85,428,36,129,189,24,175,249,103,496,83,147,245,77,395,62,865,509,298,330,139,177,16,736,181,310,404,976,84,940,184,192,245,15,75,296,811,444,206,62,465,5,"3,230",845,"1,823","1,816",93,848,215,306,999,585,341,"1,448",154,216,623,"1,024",107,"9,086","2,821","1,411","1,027","12,061","6,251",570,327,714,854,603,664,423,87,809,811,357,36,293,444,"2,514","1,195",732,873,230,17,128,58,403,45,495,0
"Insurance, reinsurance and pension funding services, except compulsory social security",162,22,52,1,29,11,13,26,17,5,13,5,20,3,7,19,5,17,13,3,0,31,24,14,12,19,4,1,41,2,4,49,25,33,49,15,1,11,22,45,129,50,17,29,0,24,5,4,7,64,61,36,22,102,141,0,"1,009",185,526,427,17,139,57,212,155,109,71,307,31,81,29,377,98,784,"10,430",188,20,"1,131","2,191",39,40,73,51,106,91,36,39,161,43,59,5,29,44,930,497,"1,302",472,36,15,27,40,65,21,1,0
Services auxiliary to financial services and insurance services        ,0,0,0,6,0,5,11,13,0,1,9,6,10,6,0,33,0,4,3,0,0,6,11,78,6,28,40,18,76,2,12,29,72,26,39,6,3,34,111,32,33,107,10,35,19,2,14,0,4,29,3,12,10,15,157,0,773,93,"1,204",594,36,118,648,351,93,82,25,232,121,20,244,"1,587",96,"7,769","14,274","13,524",25,0,"1,877",422,90,420,"1,141",213,115,270,0,439,578,12,36,192,751,24,83,11,0,16,4,30,11,0,29,67,0
Real estate services on a fee or contract basis       ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,48,0,21,10,1,0,0,0,0,2,0,4,0,3,452,18,1,52,112,4,364,28,69,6,0,9,5,8,5,1,0,3,2,0,0,3,4,4,10,0,0,0,0,0,0,0,0,0,0
Owner-Occupiers' Housing Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Real estate services, excluding on a fee or contract basis and imputed rent   ",0,0,0,0,1,0,1,4,2,0,1,0,0,0,0,0,0,16,1,6,36,262,45,0,4,6,8,0,23,0,33,185,0,2,16,11,1,290,146,44,10,3,0,1,12,62,11,0,0,55,175,101,29,8,126,44,264,794,"3,511","8,288",1,392,42,680,929,107,874,"3,175",357,593,"1,156","1,795",9,"1,814",532,105,256,91,"4,240","1,245",217,733,355,354,"1,407",317,38,445,267,205,6,45,550,"3,036","2,274","2,601",731,12,81,265,494,0,40,437,0
Legal services              ,12,1,13,1,194,19,112,57,58,9,29,50,111,66,25,55,35,2,12,8,8,42,8,9,44,33,71,19,85,66,208,58,99,37,64,12,26,49,267,124,125,49,22,21,10,9,41,16,3,98,483,213,35,3,36,3,"1,040",134,"1,055",521,29,108,14,67,80,9,65,271,184,327,161,"1,167",594,"2,175",1,409,41,573,687,"1,267",367,"1,731",143,298,367,215,14,959,195,79,15,66,518,"2,775",376,"1,789",387,126,18,120,197,269,12,0,0
"Accounting, bookkeeping and auditing services; tax consulting services        ",11,13,10,1,22,3,15,28,18,9,28,47,87,66,22,185,5,80,63,6,22,53,17,7,16,65,42,2,49,3,153,83,3,28,17,10,2,8,232,50,96,56,13,33,4,24,48,12,5,71,486,175,23,1,52,45,159,317,"1,663",742,104,138,31,17,135,29,85,476,250,221,459,"2,228",87,"1,979",206,151,74,0,386,285,46,"1,117",184,218,575,320,20,331,305,227,19,46,646,344,685,888,601,172,71,13,92,138,21,144,0
