,product,variable,value,factor,product,variable,value,factor
37,"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9",Intermediate consumption at basic prices,1.7,Ratio of direct to total,"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9",Intermediate consumption at basic prices,0.472,total impact
38,"Computer, electronic and optical products",Intermediate consumption at basic prices,1.623,Ratio of direct to total,"Computer, electronic and optical products",Intermediate consumption at basic prices,0.507,total impact
39,Electrical equipment,Intermediate consumption at basic prices,1.68,Ratio of direct to total,Electrical equipment,Intermediate consumption at basic prices,0.684,total impact
40,Machinery and equipment n.e.c.,Intermediate consumption at basic prices,1.65,Ratio of direct to total,Machinery and equipment n.e.c.,Intermediate consumption at basic prices,0.637,total impact
41,"Motor vehicles, trailers and semi-trailers",Intermediate consumption at basic prices,1.663,Ratio of direct to total,"Motor vehicles, trailers and semi-trailers",Intermediate consumption at basic prices,0.688,total impact
42,Ships and boats,Intermediate consumption at basic prices,1.732,Ratio of direct to total,Ships and boats,Intermediate consumption at basic prices,0.818,total impact
43,Air and spacecraft and related machinery,Intermediate consumption at basic prices,1.73,Ratio of direct to total,Air and spacecraft and related machinery,Intermediate consumption at basic prices,0.903,total impact
44,Other transport equipment - 30.2/4/9,Intermediate consumption at basic prices,1.744,Ratio of direct to total,Other transport equipment - 30.2/4/9,Intermediate consumption at basic prices,0.934,total impact
45,Furniture,Intermediate consumption at basic prices,1.664,Ratio of direct to total,Furniture,Intermediate consumption at basic prices,0.633,total impact
46,Other manufactured goods,Intermediate consumption at basic prices,1.662,Ratio of direct to total,Other manufactured goods,Intermediate consumption at basic prices,0.496,total impact
47,Repair and maintenance of ships and boats,Intermediate consumption at basic prices,1.622,Ratio of direct to total,Repair and maintenance of ships and boats,Intermediate consumption at basic prices,0.492,total impact
48,Repair and maintenance of aircraft and spacecraft,Intermediate consumption at basic prices,1.902,Ratio of direct to total,Repair and maintenance of aircraft and spacecraft,Intermediate consumption at basic prices,1.084,total impact
49,Rest of repair; Installation - 33.11-14/17/19/20,Intermediate consumption at basic prices,1.665,Ratio of direct to total,Rest of repair; Installation - 33.11-14/17/19/20,Intermediate consumption at basic prices,0.629,total impact
50,"Electricity, transmission and distribution",Intermediate consumption at basic prices,2.372,Ratio of direct to total,"Electricity, transmission and distribution",Intermediate consumption at basic prices,1.664,total impact
51,Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,Intermediate consumption at basic prices,2.358,Ratio of direct to total,Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,Intermediate consumption at basic prices,1.521,total impact
52,Natural water; water treatment and supply services,Intermediate consumption at basic prices,1.78,Ratio of direct to total,Natural water; water treatment and supply services,Intermediate consumption at basic prices,0.526,total impact
53,Sewerage services; sewage sludge,Intermediate consumption at basic prices,1.638,Ratio of direct to total,Sewerage services; sewage sludge,Intermediate consumption at basic prices,0.312,total impact
54,"Waste collection, treatment and disposal services; materials recovery services",Intermediate consumption at basic prices,1.634,Ratio of direct to total,"Waste collection, treatment and disposal services; materials recovery services",Intermediate consumption at basic prices,0.77,total impact
55,Remediation services and other waste management services,Intermediate consumption at basic prices,1.633,Ratio of direct to total,Remediation services and other waste management services,Intermediate consumption at basic prices,0.788,total impact
56,Construction,Intermediate consumption at basic prices,1.882,Ratio of direct to total,Construction,Intermediate consumption at basic prices,1.069,total impact
57,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Intermediate consumption at basic prices,1.656,Ratio of direct to total,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Intermediate consumption at basic prices,0.605,total impact
58,"Wholesale trade services, except of motor vehicles and motorcycles",Intermediate consumption at basic prices,1.692,Ratio of direct to total,"Wholesale trade services, except of motor vehicles and motorcycles",Intermediate consumption at basic prices,0.704,total impact
59,"Retail trade services, except of motor vehicles and motorcycles",Intermediate consumption at basic prices,1.716,Ratio of direct to total,"Retail trade services, except of motor vehicles and motorcycles",Intermediate consumption at basic prices,0.6,total impact
60,Rail transport services,Intermediate consumption at basic prices,1.764,Ratio of direct to total,Rail transport services,Intermediate consumption at basic prices,1.089,total impact
61,"Land transport services and transport services via pipelines, excluding rail transport",Intermediate consumption at basic prices,1.686,Ratio of direct to total,"Land transport services and transport services via pipelines, excluding rail transport",Intermediate consumption at basic prices,0.722,total impact
62,Water transport services,Intermediate consumption at basic prices,1.665,Ratio of direct to total,Water transport services,Intermediate consumption at basic prices,0.493,total impact
63,Air transport services,Intermediate consumption at basic prices,1.755,Ratio of direct to total,Air transport services,Intermediate consumption at basic prices,0.731,total impact
64,Warehousing and support services for transportation,Intermediate consumption at basic prices,1.719,Ratio of direct to total,Warehousing and support services for transportation,Intermediate consumption at basic prices,0.867,total impact
65,Postal and courier services,Intermediate consumption at basic prices,1.645,Ratio of direct to total,Postal and courier services,Intermediate consumption at basic prices,0.63,total impact
66,Accommodation services,Intermediate consumption at basic prices,1.858,Ratio of direct to total,Accommodation services,Intermediate consumption at basic prices,0.748,total impact
67,Food and beverage serving services,Intermediate consumption at basic prices,1.84,Ratio of direct to total,Food and beverage serving services,Intermediate consumption at basic prices,0.746,total impact
68,Publishing services,Intermediate consumption at basic prices,1.649,Ratio of direct to total,Publishing services,Intermediate consumption at basic prices,0.678,total impact
69,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities",Intermediate consumption at basic prices,1.665,Ratio of direct to total,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities",Intermediate consumption at basic prices,0.725,total impact
70,Telecommunications services,Intermediate consumption at basic prices,1.625,Ratio of direct to total,Telecommunications services,Intermediate consumption at basic prices,0.409,total impact
71,"Computer programming, consultancy and related services",Intermediate consumption at basic prices,1.599,Ratio of direct to total,"Computer programming, consultancy and related services",Intermediate consumption at basic prices,0.581,total impact
72,Information services,Intermediate consumption at basic prices,1.64,Ratio of direct to total,Information services,Intermediate consumption at basic prices,0.587,total impact
73,"Financial services, except insurance and pension funding",Intermediate consumption at basic prices,1.609,Ratio of direct to total,"Financial services, except insurance and pension funding",Intermediate consumption at basic prices,0.586,total impact
74,"Insurance, reinsurance and pension funding services, except compulsory social security",Intermediate consumption at basic prices,1.668,Ratio of direct to total,"Insurance, reinsurance and pension funding services, except compulsory social security",Intermediate consumption at basic prices,0.803,total impact
75,Services auxiliary to financial services and insurance services,Intermediate consumption at basic prices,1.605,Ratio of direct to total,Services auxiliary to financial services and insurance services,Intermediate consumption at basic prices,0.595,total impact
76,Real estate services on a fee or contract basis,Intermediate consumption at basic prices,1.64,Ratio of direct to total,Real estate services on a fee or contract basis,Intermediate consumption at basic prices,0.573,total impact
77,Owner-Occupiers' Housing Services,Intermediate consumption at basic prices,1.792,Ratio of direct to total,Owner-Occupiers' Housing Services,Intermediate consumption at basic prices,0.237,total impact
78,"Real estate services, excluding on a fee or contract basis and imputed rent",Intermediate consumption at basic prices,1.741,Ratio of direct to total,"Real estate services, excluding on a fee or contract basis and imputed rent",Intermediate consumption at basic prices,0.597,total impact
79,Legal services,Intermediate consumption at basic prices,1.576,Ratio of direct to total,Legal services,Intermediate consumption at basic prices,0.344,total impact
80,"Accounting, bookkeeping and auditing services; tax consulting services",Intermediate consumption at basic prices,1.591,Ratio of direct to total,"Accounting, bookkeeping and auditing services; tax consulting services",Intermediate consumption at basic prices,0.243,total impact
81,Services of head offices; management consulting services,Intermediate consumption at basic prices,1.617,Ratio of direct to total,Services of head offices; management consulting services,Intermediate consumption at basic prices,0.626,total impact
82,Architectural and engineering services; technical testing and analysis services,Intermediate consumption at basic prices,1.724,Ratio of direct to total,Architectural and engineering services; technical testing and analysis services,Intermediate consumption at basic prices,0.837,total impact
83,Scientific research and development services,Intermediate consumption at basic prices,1.673,Ratio of direct to total,Scientific research and development services,Intermediate consumption at basic prices,0.696,total impact
84,Advertising and market research services,Intermediate consumption at basic prices,1.661,Ratio of direct to total,Advertising and market research services,Intermediate consumption at basic prices,0.578,total impact
