,product,variable,value,factor,product,variable,value,factor
207,Repair services of computers and personal and household goods,"Use of imported products, cif",1.584,Ratio of direct to total,Repair services of computers and personal and household goods,"Use of imported products, cif",0.11,total impact
208,Other personal services,"Use of imported products, cif",1.516,Ratio of direct to total,Other personal services,"Use of imported products, cif",0.059,total impact
209,Services of households as employers of domestic personnel,"Use of imported products, cif",,Ratio of direct to total,Services of households as employers of domestic personnel,"Use of imported products, cif",0.0,total impact
210,"Products of agriculture, hunting and related services",Taxes less subsidies on products,1.739,Ratio of direct to total,"Products of agriculture, hunting and related services",Taxes less subsidies on products,0.031,total impact
211,"Products of forestry, logging and related services",Taxes less subsidies on products,1.867,Ratio of direct to total,"Products of forestry, logging and related services",Taxes less subsidies on products,0.031,total impact
212,Fish and other fishing products; aquaculture products; support services to fishing,Taxes less subsidies on products,2.099,Ratio of direct to total,Fish and other fishing products; aquaculture products; support services to fishing,Taxes less subsidies on products,0.026,total impact
213,Coal and lignite,Taxes less subsidies on products,3.067,Ratio of direct to total,Coal and lignite,Taxes less subsidies on products,0.016,total impact
214,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,Taxes less subsidies on products,3.122,Ratio of direct to total,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,Taxes less subsidies on products,0.01,total impact
215,Other mining and quarrying products,Taxes less subsidies on products,1.833,Ratio of direct to total,Other mining and quarrying products,Taxes less subsidies on products,0.029,total impact
216,Mining support services,Taxes less subsidies on products,7.409,Ratio of direct to total,Mining support services,Taxes less subsidies on products,0.014,total impact
217,Preserved meat and meat products,Taxes less subsidies on products,15.773,Ratio of direct to total,Preserved meat and meat products,Taxes less subsidies on products,0.018,total impact
218,"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables",Taxes less subsidies on products,23.84,Ratio of direct to total,"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables",Taxes less subsidies on products,0.017,total impact
219,Vegetable and animal oils and fats,Taxes less subsidies on products,9.535,Ratio of direct to total,Vegetable and animal oils and fats,Taxes less subsidies on products,0.013,total impact
220,Dairy products,Taxes less subsidies on products,,Ratio of direct to total,Dairy products,Taxes less subsidies on products,0.02,total impact
221,"Grain mill products, starches and starch products",Taxes less subsidies on products,11.837,Ratio of direct to total,"Grain mill products, starches and starch products",Taxes less subsidies on products,0.015,total impact
222,Bakery and farinaceous products,Taxes less subsidies on products,5.382,Ratio of direct to total,Bakery and farinaceous products,Taxes less subsidies on products,0.014,total impact
223,Other food products,Taxes less subsidies on products,7.333,Ratio of direct to total,Other food products,Taxes less subsidies on products,0.013,total impact
224,Prepared animal feeds,Taxes less subsidies on products,6.866,Ratio of direct to total,Prepared animal feeds,Taxes less subsidies on products,0.019,total impact
225,Alcoholic beverages  & Tobacco products,Taxes less subsidies on products,1.637,Ratio of direct to total,Alcoholic beverages  & Tobacco products,Taxes less subsidies on products,0.036,total impact
226,Soft drinks,Taxes less subsidies on products,4.288,Ratio of direct to total,Soft drinks,Taxes less subsidies on products,0.013,total impact
227,Textiles,Taxes less subsidies on products,5.015,Ratio of direct to total,Textiles,Taxes less subsidies on products,0.008,total impact
228,Wearing apparel,Taxes less subsidies on products,10.072,Ratio of direct to total,Wearing apparel,Taxes less subsidies on products,0.008,total impact
229,Leather and related products,Taxes less subsidies on products,9.225,Ratio of direct to total,Leather and related products,Taxes less subsidies on products,0.011,total impact
230,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Taxes less subsidies on products,3.668,Ratio of direct to total,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Taxes less subsidies on products,0.012,total impact
231,Paper and paper products,Taxes less subsidies on products,4.516,Ratio of direct to total,Paper and paper products,Taxes less subsidies on products,0.012,total impact
232,Printing and recording services,Taxes less subsidies on products,4.468,Ratio of direct to total,Printing and recording services,Taxes less subsidies on products,0.008,total impact
233,Coke and refined petroleum products,Taxes less subsidies on products,1.123,Ratio of direct to total,Coke and refined petroleum products,Taxes less subsidies on products,0.024,total impact
234,"Paints, varnishes and similar coatings, printing ink and mastics",Taxes less subsidies on products,4.761,Ratio of direct to total,"Paints, varnishes and similar coatings, printing ink and mastics",Taxes less subsidies on products,0.014,total impact
235,"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",Taxes less subsidies on products,5.002,Ratio of direct to total,"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",Taxes less subsidies on products,0.009,total impact
236,Other chemical products,Taxes less subsidies on products,3.315,Ratio of direct to total,Other chemical products,Taxes less subsidies on products,0.014,total impact
237,"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15",Taxes less subsidies on products,2.69,Ratio of direct to total,"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15",Taxes less subsidies on products,0.016,total impact
238,Petrochemicals - 20.14/16/17/60,Taxes less subsidies on products,1.706,Ratio of direct to total,Petrochemicals - 20.14/16/17/60,Taxes less subsidies on products,0.032,total impact
239,"Dyestuffs, agro-chemicals - 20.12/20",Taxes less subsidies on products,3.175,Ratio of direct to total,"Dyestuffs, agro-chemicals - 20.12/20",Taxes less subsidies on products,0.01,total impact
240,Basic pharmaceutical products and pharmaceutical preparations,Taxes less subsidies on products,5.694,Ratio of direct to total,Basic pharmaceutical products and pharmaceutical preparations,Taxes less subsidies on products,0.009,total impact
241,Rubber and plastic products,Taxes less subsidies on products,3.704,Ratio of direct to total,Rubber and plastic products,Taxes less subsidies on products,0.013,total impact
242,"Cement, lime, plaster and articles of concrete, cement and plaster",Taxes less subsidies on products,2.056,Ratio of direct to total,"Cement, lime, plaster and articles of concrete, cement and plaster",Taxes less subsidies on products,0.023,total impact
243,"Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9",Taxes less subsidies on products,1.682,Ratio of direct to total,"Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9",Taxes less subsidies on products,0.027,total impact
244,Basic iron and steel,Taxes less subsidies on products,2.488,Ratio of direct to total,Basic iron and steel,Taxes less subsidies on products,0.02,total impact
245,Other basic metals and casting,Taxes less subsidies on products,3.555,Ratio of direct to total,Other basic metals and casting,Taxes less subsidies on products,0.009,total impact
246,Weapons and ammunition,Taxes less subsidies on products,5.284,Ratio of direct to total,Weapons and ammunition,Taxes less subsidies on products,0.009,total impact
247,"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9",Taxes less subsidies on products,2.917,Ratio of direct to total,"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9",Taxes less subsidies on products,0.009,total impact
248,"Computer, electronic and optical products",Taxes less subsidies on products,5.178,Ratio of direct to total,"Computer, electronic and optical products",Taxes less subsidies on products,0.006,total impact
249,Electrical equipment,Taxes less subsidies on products,4.765,Ratio of direct to total,Electrical equipment,Taxes less subsidies on products,0.01,total impact
250,Machinery and equipment n.e.c.,Taxes less subsidies on products,3.949,Ratio of direct to total,Machinery and equipment n.e.c.,Taxes less subsidies on products,0.009,total impact
251,"Motor vehicles, trailers and semi-trailers",Taxes less subsidies on products,3.448,Ratio of direct to total,"Motor vehicles, trailers and semi-trailers",Taxes less subsidies on products,0.01,total impact
252,Ships and boats,Taxes less subsidies on products,2.564,Ratio of direct to total,Ships and boats,Taxes less subsidies on products,0.015,total impact
253,Air and spacecraft and related machinery,Taxes less subsidies on products,6.394,Ratio of direct to total,Air and spacecraft and related machinery,Taxes less subsidies on products,0.011,total impact
254,Other transport equipment - 30.2/4/9,Taxes less subsidies on products,5.187,Ratio of direct to total,Other transport equipment - 30.2/4/9,Taxes less subsidies on products,0.013,total impact
255,Furniture,Taxes less subsidies on products,3.923,Ratio of direct to total,Furniture,Taxes less subsidies on products,0.011,total impact
256,Other manufactured goods,Taxes less subsidies on products,2.887,Ratio of direct to total,Other manufactured goods,Taxes less subsidies on products,0.01,total impact
257,Repair and maintenance of ships and boats,Taxes less subsidies on products,3.272,Ratio of direct to total,Repair and maintenance of ships and boats,Taxes less subsidies on products,0.008,total impact
258,Repair and maintenance of aircraft and spacecraft,Taxes less subsidies on products,7.155,Ratio of direct to total,Repair and maintenance of aircraft and spacecraft,Taxes less subsidies on products,0.008,total impact
259,Rest of repair; Installation - 33.11-14/17/19/20,Taxes less subsidies on products,2.302,Ratio of direct to total,Rest of repair; Installation - 33.11-14/17/19/20,Taxes less subsidies on products,0.012,total impact
260,"Electricity, transmission and distribution",Taxes less subsidies on products,2.583,Ratio of direct to total,"Electricity, transmission and distribution",Taxes less subsidies on products,0.027,total impact
261,Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,Taxes less subsidies on products,3.71,Ratio of direct to total,Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,Taxes less subsidies on products,0.019,total impact
262,Natural water; water treatment and supply services,Taxes less subsidies on products,3.353,Ratio of direct to total,Natural water; water treatment and supply services,Taxes less subsidies on products,0.009,total impact
263,Sewerage services; sewage sludge,Taxes less subsidies on products,1.338,Ratio of direct to total,Sewerage services; sewage sludge,Taxes less subsidies on products,0.019,total impact
264,"Waste collection, treatment and disposal services; materials recovery services",Taxes less subsidies on products,1.213,Ratio of direct to total,"Waste collection, treatment and disposal services; materials recovery services",Taxes less subsidies on products,0.089,total impact
265,Remediation services and other waste management services,Taxes less subsidies on products,2.475,Ratio of direct to total,Remediation services and other waste management services,Taxes less subsidies on products,0.012,total impact
266,Construction,Taxes less subsidies on products,1.808,Ratio of direct to total,Construction,Taxes less subsidies on products,0.037,total impact
267,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Taxes less subsidies on products,2.579,Ratio of direct to total,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Taxes less subsidies on products,0.01,total impact
268,"Wholesale trade services, except of motor vehicles and motorcycles",Taxes less subsidies on products,1.904,Ratio of direct to total,"Wholesale trade services, except of motor vehicles and motorcycles",Taxes less subsidies on products,0.021,total impact
269,"Retail trade services, except of motor vehicles and motorcycles",Taxes less subsidies on products,2.83,Ratio of direct to total,"Retail trade services, except of motor vehicles and motorcycles",Taxes less subsidies on products,0.012,total impact
270,Rail transport services,Taxes less subsidies on products,6.96,Ratio of direct to total,Rail transport services,Taxes less subsidies on products,0.013,total impact
271,"Land transport services and transport services via pipelines, excluding rail transport",Taxes less subsidies on products,1.42,Ratio of direct to total,"Land transport services and transport services via pipelines, excluding rail transport",Taxes less subsidies on products,0.041,total impact
272,Water transport services,Taxes less subsidies on products,1.434,Ratio of direct to total,Water transport services,Taxes less subsidies on products,0.036,total impact
273,Air transport services,Taxes less subsidies on products,1.217,Ratio of direct to total,Air transport services,Taxes less subsidies on products,0.106,total impact
274,Warehousing and support services for transportation,Taxes less subsidies on products,2.295,Ratio of direct to total,Warehousing and support services for transportation,Taxes less subsidies on products,0.024,total impact
275,Postal and courier services,Taxes less subsidies on products,1.359,Ratio of direct to total,Postal and courier services,Taxes less subsidies on products,0.049,total impact
276,Accommodation services,Taxes less subsidies on products,1.447,Ratio of direct to total,Accommodation services,Taxes less subsidies on products,0.031,total impact
277,Food and beverage serving services,Taxes less subsidies on products,1.319,Ratio of direct to total,Food and beverage serving services,Taxes less subsidies on products,0.039,total impact
278,Publishing services,Taxes less subsidies on products,8.611,Ratio of direct to total,Publishing services,Taxes less subsidies on products,0.008,total impact
279,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities",Taxes less subsidies on products,8.47,Ratio of direct to total,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities",Taxes less subsidies on products,0.008,total impact
280,Telecommunications services,Taxes less subsidies on products,3.861,Ratio of direct to total,Telecommunications services,Taxes less subsidies on products,0.006,total impact
281,"Computer programming, consultancy and related services",Taxes less subsidies on products,2.239,Ratio of direct to total,"Computer programming, consultancy and related services",Taxes less subsidies on products,0.012,total impact
282,Information services,Taxes less subsidies on products,2.76,Ratio of direct to total,Information services,Taxes less subsidies on products,0.01,total impact
283,"Financial services, except insurance and pension funding",Taxes less subsidies on products,1.269,Ratio of direct to total,"Financial services, except insurance and pension funding",Taxes less subsidies on products,0.05,total impact
284,"Insurance, reinsurance and pension funding services, except compulsory social security",Taxes less subsidies on products,1.493,Ratio of direct to total,"Insurance, reinsurance and pension funding services, except compulsory social security",Taxes less subsidies on products,0.068,total impact
285,Services auxiliary to financial services and insurance services,Taxes less subsidies on products,1.374,Ratio of direct to total,Services auxiliary to financial services and insurance services,Taxes less subsidies on products,0.047,total impact
286,Real estate services on a fee or contract basis,Taxes less subsidies on products,3.139,Ratio of direct to total,Real estate services on a fee or contract basis,Taxes less subsidies on products,0.014,total impact
287,Owner-Occupiers' Housing Services,Taxes less subsidies on products,9.779,Ratio of direct to total,Owner-Occupiers' Housing Services,Taxes less subsidies on products,0.006,total impact
288,"Real estate services, excluding on a fee or contract basis and imputed rent",Taxes less subsidies on products,2.34,Ratio of direct to total,"Real estate services, excluding on a fee or contract basis and imputed rent",Taxes less subsidies on products,0.02,total impact
289,Legal services,Taxes less subsidies on products,4.094,Ratio of direct to total,Legal services,Taxes less subsidies on products,0.006,total impact
290,"Accounting, bookkeeping and auditing services; tax consulting services",Taxes less subsidies on products,2.929,Ratio of direct to total,"Accounting, bookkeeping and auditing services; tax consulting services",Taxes less subsidies on products,0.006,total impact
291,Services of head offices; management consulting services,Taxes less subsidies on products,2.467,Ratio of direct to total,Services of head offices; management consulting services,Taxes less subsidies on products,0.014,total impact
292,Architectural and engineering services; technical testing and analysis services,Taxes less subsidies on products,3.998,Ratio of direct to total,Architectural and engineering services; technical testing and analysis services,Taxes less subsidies on products,0.015,total impact
293,Scientific research and development services,Taxes less subsidies on products,2.414,Ratio of direct to total,Scientific research and development services,Taxes less subsidies on products,0.012,total impact
294,Advertising and market research services,Taxes less subsidies on products,3.211,Ratio of direct to total,Advertising and market research services,Taxes less subsidies on products,0.01,total impact
295,"Other professional, scientific and technical services",Taxes less subsidies on products,3.259,Ratio of direct to total,"Other professional, scientific and technical services",Taxes less subsidies on products,0.014,total impact
296,Veterinary services,Taxes less subsidies on products,2.698,Ratio of direct to total,Veterinary services,Taxes less subsidies on products,0.007,total impact
297,Rental and leasing services,Taxes less subsidies on products,1.927,Ratio of direct to total,Rental and leasing services,Taxes less subsidies on products,0.012,total impact
298,Employment services,Taxes less subsidies on products,5.364,Ratio of direct to total,Employment services,Taxes less subsidies on products,0.005,total impact
299,"Travel agency, tour operator and other reservation services and related services",Taxes less subsidies on products,2.651,Ratio of direct to total,"Travel agency, tour operator and other reservation services and related services",Taxes less subsidies on products,0.048,total impact
300,Security and investigation services,Taxes less subsidies on products,2.599,Ratio of direct to total,Security and investigation services,Taxes less subsidies on products,0.007,total impact
301,Services to buildings and landscape,Taxes less subsidies on products,3.354,Ratio of direct to total,Services to buildings and landscape,Taxes less subsidies on products,0.013,total impact
302,"Office administrative, office support and other business support services",Taxes less subsidies on products,2.552,Ratio of direct to total,"Office administrative, office support and other business support services",Taxes less subsidies on products,0.013,total impact
303,Public administration and defence services; compulsory social security services,Taxes less subsidies on products,1.191,Ratio of direct to total,Public administration and defence services; compulsory social security services,Taxes less subsidies on products,0.048,total impact
304,Education services,Taxes less subsidies on products,1.273,Ratio of direct to total,Education services,Taxes less subsidies on products,0.026,total impact
305,Human health services,Taxes less subsidies on products,1.165,Ratio of direct to total,Human health services,Taxes less subsidies on products,0.044,total impact
306,Residential Care  & Social Work Activities,Taxes less subsidies on products,1.307,Ratio of direct to total,Residential Care  & Social Work Activities,Taxes less subsidies on products,0.045,total impact
307,"Creative, arts and entertainment services",Taxes less subsidies on products,1.287,Ratio of direct to total,"Creative, arts and entertainment services",Taxes less subsidies on products,0.061,total impact
308,"Libraries, archives, museums and other cultural services",Taxes less subsidies on products,2.751,Ratio of direct to total,"Libraries, archives, museums and other cultural services",Taxes less subsidies on products,0.012,total impact
309,Gambling and betting services,Taxes less subsidies on products,1.351,Ratio of direct to total,Gambling and betting services,Taxes less subsidies on products,0.025,total impact
310,Sports services and amusement and recreation services,Taxes less subsidies on products,1.196,Ratio of direct to total,Sports services and amusement and recreation services,Taxes less subsidies on products,0.047,total impact
311,Services furnished by membership organisations,Taxes less subsidies on products,2.135,Ratio of direct to total,Services furnished by membership organisations,Taxes less subsidies on products,0.015,total impact
312,Repair services of computers and personal and household goods,Taxes less subsidies on products,2.873,Ratio of direct to total,Repair services of computers and personal and household goods,Taxes less subsidies on products,0.007,total impact
313,Other personal services,Taxes less subsidies on products,1.19,Ratio of direct to total,Other personal services,Taxes less subsidies on products,0.024,total impact
314,Services of households as employers of domestic personnel,Taxes less subsidies on products,,Ratio of direct to total,Services of households as employers of domestic personnel,Taxes less subsidies on products,0.0,total impact
315,"Products of agriculture, hunting and related services",Intermediate consumption at purchaser's prices,1.947,Ratio of direct to total,"Products of agriculture, hunting and related services",Intermediate consumption at purchaser's prices,1.188,total impact
316,"Products of forestry, logging and related services",Intermediate consumption at purchaser's prices,1.959,Ratio of direct to total,"Products of forestry, logging and related services",Intermediate consumption at purchaser's prices,1.16,total impact
317,Fish and other fishing products; aquaculture products; support services to fishing,Intermediate consumption at purchaser's prices,1.846,Ratio of direct to total,Fish and other fishing products; aquaculture products; support services to fishing,Intermediate consumption at purchaser's prices,1.349,total impact
318,Coal and lignite,Intermediate consumption at purchaser's prices,1.843,Ratio of direct to total,Coal and lignite,Intermediate consumption at purchaser's prices,1.004,total impact
319,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,Intermediate consumption at purchaser's prices,1.891,Ratio of direct to total,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,Intermediate consumption at purchaser's prices,0.692,total impact
320,Other mining and quarrying products,Intermediate consumption at purchaser's prices,1.721,Ratio of direct to total,Other mining and quarrying products,Intermediate consumption at purchaser's prices,1.176,total impact
321,Mining support services,Intermediate consumption at purchaser's prices,1.884,Ratio of direct to total,Mining support services,Intermediate consumption at purchaser's prices,1.397,total impact
322,Preserved meat and meat products,Intermediate consumption at purchaser's prices,2.153,Ratio of direct to total,Preserved meat and meat products,Intermediate consumption at purchaser's prices,1.611,total impact
323,"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables",Intermediate consumption at purchaser's prices,2.084,Ratio of direct to total,"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables",Intermediate consumption at purchaser's prices,1.508,total impact
324,Vegetable and animal oils and fats,Intermediate consumption at purchaser's prices,1.717,Ratio of direct to total,Vegetable and animal oils and fats,Intermediate consumption at purchaser's prices,1.402,total impact
325,Dairy products,Intermediate consumption at purchaser's prices,2.076,Ratio of direct to total,Dairy products,Intermediate consumption at purchaser's prices,1.55,total impact
326,"Grain mill products, starches and starch products",Intermediate consumption at purchaser's prices,2.02,Ratio of direct to total,"Grain mill products, starches and starch products",Intermediate consumption at purchaser's prices,1.555,total impact
327,Bakery and farinaceous products,Intermediate consumption at purchaser's prices,2.01,Ratio of direct to total,Bakery and farinaceous products,Intermediate consumption at purchaser's prices,1.214,total impact
328,Other food products,Intermediate consumption at purchaser's prices,1.893,Ratio of direct to total,Other food products,Intermediate consumption at purchaser's prices,1.208,total impact
329,Prepared animal feeds,Intermediate consumption at purchaser's prices,2.132,Ratio of direct to total,Prepared animal feeds,Intermediate consumption at purchaser's prices,1.764,total impact
330,Alcoholic beverages  & Tobacco products,Intermediate consumption at purchaser's prices,1.893,Ratio of direct to total,Alcoholic beverages  & Tobacco products,Intermediate consumption at purchaser's prices,1.198,total impact
331,Soft drinks,Intermediate consumption at purchaser's prices,1.942,Ratio of direct to total,Soft drinks,Intermediate consumption at purchaser's prices,1.173,total impact
332,Textiles,Intermediate consumption at purchaser's prices,1.545,Ratio of direct to total,Textiles,Intermediate consumption at purchaser's prices,0.719,total impact
333,Wearing apparel,Intermediate consumption at purchaser's prices,1.659,Ratio of direct to total,Wearing apparel,Intermediate consumption at purchaser's prices,0.693,total impact
334,Leather and related products,Intermediate consumption at purchaser's prices,1.588,Ratio of direct to total,Leather and related products,Intermediate consumption at purchaser's prices,0.981,total impact
335,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Intermediate consumption at purchaser's prices,1.512,Ratio of direct to total,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Intermediate consumption at purchaser's prices,0.951,total impact
336,Paper and paper products,Intermediate consumption at purchaser's prices,1.617,Ratio of direct to total,Paper and paper products,Intermediate consumption at purchaser's prices,1.058,total impact
337,Printing and recording services,Intermediate consumption at purchaser's prices,1.589,Ratio of direct to total,Printing and recording services,Intermediate consumption at purchaser's prices,0.879,total impact
338,Coke and refined petroleum products,Intermediate consumption at purchaser's prices,1.092,Ratio of direct to total,Coke and refined petroleum products,Intermediate consumption at purchaser's prices,0.974,total impact
339,"Paints, varnishes and similar coatings, printing ink and mastics",Intermediate consumption at purchaser's prices,1.623,Ratio of direct to total,"Paints, varnishes and similar coatings, printing ink and mastics",Intermediate consumption at purchaser's prices,1.056,total impact
340,"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",Intermediate consumption at purchaser's prices,1.71,Ratio of direct to total,"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",Intermediate consumption at purchaser's prices,0.898,total impact
341,Other chemical products,Intermediate consumption at purchaser's prices,1.512,Ratio of direct to total,Other chemical products,Intermediate consumption at purchaser's prices,1.027,total impact
342,"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15",Intermediate consumption at purchaser's prices,1.56,Ratio of direct to total,"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15",Intermediate consumption at purchaser's prices,1.226,total impact
343,Petrochemicals - 20.14/16/17/60,Intermediate consumption at purchaser's prices,1.663,Ratio of direct to total,Petrochemicals - 20.14/16/17/60,Intermediate consumption at purchaser's prices,1.323,total impact
344,"Dyestuffs, agro-chemicals - 20.12/20",Intermediate consumption at purchaser's prices,1.488,Ratio of direct to total,"Dyestuffs, agro-chemicals - 20.12/20",Intermediate consumption at purchaser's prices,0.837,total impact
345,Basic pharmaceutical products and pharmaceutical preparations,Intermediate consumption at purchaser's prices,1.569,Ratio of direct to total,Basic pharmaceutical products and pharmaceutical preparations,Intermediate consumption at purchaser's prices,0.803,total impact
346,Rubber and plastic products,Intermediate consumption at purchaser's prices,1.557,Ratio of direct to total,Rubber and plastic products,Intermediate consumption at purchaser's prices,1.05,total impact
347,"Cement, lime, plaster and articles of concrete, cement and plaster",Intermediate consumption at purchaser's prices,1.667,Ratio of direct to total,"Cement, lime, plaster and articles of concrete, cement and plaster",Intermediate consumption at purchaser's prices,0.998,total impact
348,"Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9",Intermediate consumption at purchaser's prices,1.627,Ratio of direct to total,"Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9",Intermediate consumption at purchaser's prices,1.049,total impact
349,Basic iron and steel,Intermediate consumption at purchaser's prices,1.566,Ratio of direct to total,Basic iron and steel,Intermediate consumption at purchaser's prices,1.178,total impact
350,Other basic metals and casting,Intermediate consumption at purchaser's prices,1.405,Ratio of direct to total,Other basic metals and casting,Intermediate consumption at purchaser's prices,0.928,total impact
351,Weapons and ammunition,Intermediate consumption at purchaser's prices,1.669,Ratio of direct to total,Weapons and ammunition,Intermediate consumption at purchaser's prices,1.146,total impact
352,"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9",Intermediate consumption at purchaser's prices,1.487,Ratio of direct to total,"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9",Intermediate consumption at purchaser's prices,0.774,total impact
353,"Computer, electronic and optical products",Intermediate consumption at purchaser's prices,1.572,Ratio of direct to total,"Computer, electronic and optical products",Intermediate consumption at purchaser's prices,0.686,total impact
354,Electrical equipment,Intermediate consumption at purchaser's prices,1.59,Ratio of direct to total,Electrical equipment,Intermediate consumption at purchaser's prices,0.986,total impact
355,Machinery and equipment n.e.c.,Intermediate consumption at purchaser's prices,1.573,Ratio of direct to total,Machinery and equipment n.e.c.,Intermediate consumption at purchaser's prices,0.92,total impact
356,"Motor vehicles, trailers and semi-trailers",Intermediate consumption at purchaser's prices,1.48,Ratio of direct to total,"Motor vehicles, trailers and semi-trailers",Intermediate consumption at purchaser's prices,1.088,total impact
357,Ships and boats,Intermediate consumption at purchaser's prices,1.806,Ratio of direct to total,Ships and boats,Intermediate consumption at purchaser's prices,0.946,total impact
358,Air and spacecraft and related machinery,Intermediate consumption at purchaser's prices,1.757,Ratio of direct to total,Air and spacecraft and related machinery,Intermediate consumption at purchaser's prices,1.181,total impact
359,Other transport equipment - 30.2/4/9,Intermediate consumption at purchaser's prices,1.745,Ratio of direct to total,Other transport equipment - 30.2/4/9,Intermediate consumption at purchaser's prices,1.176,total impact
360,Furniture,Intermediate consumption at purchaser's prices,1.655,Ratio of direct to total,Furniture,Intermediate consumption at purchaser's prices,0.876,total impact
361,Other manufactured goods,Intermediate consumption at purchaser's prices,1.504,Ratio of direct to total,Other manufactured goods,Intermediate consumption at purchaser's prices,0.766,total impact
362,Repair and maintenance of ships and boats,Intermediate consumption at purchaser's prices,1.755,Ratio of direct to total,Repair and maintenance of ships and boats,Intermediate consumption at purchaser's prices,0.58,total impact
363,Repair and maintenance of aircraft and spacecraft,Intermediate consumption at purchaser's prices,2.033,Ratio of direct to total,Repair and maintenance of aircraft and spacecraft,Intermediate consumption at purchaser's prices,1.297,total impact
364,Rest of repair; Installation - 33.11-14/17/19/20,Intermediate consumption at purchaser's prices,1.624,Ratio of direct to total,Rest of repair; Installation - 33.11-14/17/19/20,Intermediate consumption at purchaser's prices,0.875,total impact
365,"Electricity, transmission and distribution",Intermediate consumption at purchaser's prices,2.444,Ratio of direct to total,"Electricity, transmission and distribution",Intermediate consumption at purchaser's prices,1.906,total impact
366,Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,Intermediate consumption at purchaser's prices,2.309,Ratio of direct to total,Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,Intermediate consumption at purchaser's prices,1.841,total impact
367,Natural water; water treatment and supply services,Intermediate consumption at purchaser's prices,1.911,Ratio of direct to total,Natural water; water treatment and supply services,Intermediate consumption at purchaser's prices,0.584,total impact
368,Sewerage services; sewage sludge,Intermediate consumption at purchaser's prices,1.702,Ratio of direct to total,Sewerage services; sewage sludge,Intermediate consumption at purchaser's prices,0.352,total impact
369,"Waste collection, treatment and disposal services; materials recovery services",Intermediate consumption at purchaser's prices,1.581,Ratio of direct to total,"Waste collection, treatment and disposal services; materials recovery services",Intermediate consumption at purchaser's prices,1.053,total impact
370,Remediation services and other waste management services,Intermediate consumption at purchaser's prices,1.722,Ratio of direct to total,Remediation services and other waste management services,Intermediate consumption at purchaser's prices,0.857,total impact
371,Construction,Intermediate consumption at purchaser's prices,1.989,Ratio of direct to total,Construction,Intermediate consumption at purchaser's prices,1.231,total impact
372,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Intermediate consumption at purchaser's prices,1.72,Ratio of direct to total,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Intermediate consumption at purchaser's prices,0.742,total impact
373,"Wholesale trade services, except of motor vehicles and motorcycles",Intermediate consumption at purchaser's prices,1.726,Ratio of direct to total,"Wholesale trade services, except of motor vehicles and motorcycles",Intermediate consumption at purchaser's prices,0.872,total impact
374,"Retail trade services, except of motor vehicles and motorcycles",Intermediate consumption at purchaser's prices,1.794,Ratio of direct to total,"Retail trade services, except of motor vehicles and motorcycles",Intermediate consumption at purchaser's prices,0.688,total impact
375,Rail transport services,Intermediate consumption at purchaser's prices,1.888,Ratio of direct to total,Rail transport services,Intermediate consumption at purchaser's prices,1.225,total impact
